"description","category","modifier","modifier_option"
"CB Le Chardon Ble Carte","Alimentation - Autres","Provenance","Produit local"
"Prlv De Gc Re Ilek Ref Facture Ident","Énergie","Part de renouvelable","100% renouvelable"
"CB Comptoir De Ch","Alimentation - Autres","Type de commerce","Boulangerie"
"CB Bio Coccinelle Carte","Supermarché / Epicerie","Bio","Produits Bio"
"CB Uber Paris","Taxi / VTC",,
"CB Uber","Taxi / VTC",,
"CB Naturalia","Supermarché / Epicerie","Bio","Produits Bio"
"Prlv De Gc Re Ilek Ref Ident","Énergie","Part de renouvelable","100% renouvelable"
"CB Lim*ride Cost","Vélos électriques",,
"CB Bio C Bon","Supermarché / Epicerie","Bio","Produits Bio"
"Prlv Enercoop","Énergie","Type d'énergie","Electricité"
"CB Cityscoot","Vélos électriques",,
"CB Txfy.me Paris","Taxi / VTC",,
"CB Carrefour Bio","Supermarché / Epicerie","Bio","Produits Bio"
"CB Naturalia Paris","Supermarché / Epicerie","Bio","Produits Bio"
"CB Paris Feni","Restaurants","Type de nourriture","Végétarien"
"CB Velib Metropole","Vélos électriques",,
"Lunchr","Restaurants",,
"Kapten","Taxi / VTC",,
"CB Biocoop","Supermarché / Epicerie","Bio","Produits Bio"
"CB Lime Sarl Paris","Vélos électriques",,
"CB Lunchr","Restaurants",,
"CB Mgp*vinted","Vêtements & Chaussures","Occasion","Produit acheté d'occasion"
"CB Velib Metropole Paris","Vélos électriques",,
"CB Uber *trip","Taxi / VTC",,
"CB Uber Trip Help.ub","Taxi / VTC",,
"CB Blablacar","Co-voiturage",,
"CB Gb Eurostar Inter","Déplacement Train","Type de train","Eurostar & Thalys"
"CB Kapten Levallois Per","Taxi / VTC",,
"CB Ubereats","Fast foods",,
"CB Transport Marce Paris","Taxi / VTC","Type de véhicule","Electrique"
"CB Txfy.me","Taxi / VTC",,
"CB Lim*ride Cost Paris","Vélos électriques",,
"CB Autolib'","Location de véhicule","Type de véhicule","Electrique"
"Prlv Enercoop","Énergie","Part de renouvelable","100% renouvelable"
"CB Bio Coccinelle Carte","Supermarché / Epicerie","Provenance","Produit local"
"Prlv Gc Re Ilek","Énergie","Part de renouvelable","100% renouvelable"
"Bio Mouffetard","Supermarché / Epicerie","Bio","Produits Bio"
"Bio Mouffetard","Supermarché / Epicerie","Provenance","Produit local"
"CB A La Source","Supermarché / Epicerie","Provenance","Produit local"
"CB Lascap Magasin Carte","Supermarché / Epicerie","Bio","Produits Bio"
"CB A La Source","Supermarché / Epicerie","Bio","Produits Bio"
"CB Lascap Magasin Carte","Supermarché / Epicerie","Provenance","Produit local"
